IDPAIS,COUNTRY,ISO3
4,AFGANISTAN,AFG
248,ALAND ISLANDS,ALI
8,ALBANIA,ALB
276,ALEMANIA,DEU
20,ANDORRA,AND
24,ANGOLA,AGO
660,ANGUILA,AIA
10,ANTARTIDA,ATA
28,ANTIGUA Y BARBUDA,ATG
530,ANTILLAS NEERLANDESAS,ANT
682,ARABIA SAUDITA,SAU
12,ARGELIA,DZA
32,ARGENTINA,ARG
51,ARMENIA,ARM
533,ARUBA,ABW
36,AUSTRALIA,AUS
40,AUSTRIA,AUT
31,AZERBAIYAN,AZE
44,BAHAMAS,BHS
48,BAHREIN,BHR
50,BANGLADESH,BGD
52,BARBADOS,BRB
112,BELARUS,BLR
56,BELGICA,BEL
58,BELGICA-LUXEMBURGO,BLX
84,BELICE,BLZ
204,BENIN,BEN
60,BERMUDAS,BMU
64,BHUTAN,BTN
68,BOLIVIA,BOL
535,BONAIRE,BES
70,BOSNIA Y HERZEGOVINA,BIH
72,BOTSWANA,BWA
76,BRASIL,BRA
96,BRUNEI DARUSSALAM,BRN
100,BULGARIA,BGR
854,BURKINA FASO,BFA
108,BURUNDI,BDI
132,CABO VERDE,CPV
116,CAMBOYA,KHM
120,CAMERUN,CMR
124,CANADA,CAN
839,CATEGORIAS ESPECIALES,SPE
148,CHAD,TCD
200,CHECOSLOVAQUIA,CSK
152,CHILE,CHL
156,CHINA,CHN
196,CHIPRE,CYP
170,COLOMBIA,COL
849,COMANDO I DEL PACIFICO DE ESTADOS UNIDOS,USP
174,COMORAS,COM
178,"CONGO, REP. DEL",COG
180,"CONGO, REP. DEM. DEL",ZAR
410,"COREA, REP. DE",KOR
408,"COREA, REP. DEM. DE",PRK
188,COSTA RICA,CRI
384,COTE D'IVOIRE,CIV
191,CROACIA,HRV
192,CUBA,CUB
531,CURACAO,CUW
208,DINAMARCA,DNK
262,DJIBOUTI,DJI
212,DOMINICA,DMA
218,ECUADOR,ECU
818,"EGIPTO, REP. ARABE DE",EGY
222,EL SALVADOR,SLV
784,EMIRATOS ARABES UNIDOS,ARE
232,ERITREA,ERI
705,ESLOVENIA,SVN
724,ESPAÃ‘A,ESP
840,ESTADOS UNIDOS,USA
233,ESTONIA,EST
231,ETIOPIA (EXCLUIDA ERITREA),ETH
230,ETIOPIA (INCLUIDA ERITREA),ETF
918,EUROPEAN UNION,EUN
736,EX SUDAN,SDN
643,FEDERACION DE RUSIA,RUS
242,FIJI,FJI
608,FILIPINAS,PHL
246,FINLANDIA,FIN
592,FM PANAMA CZ,PCZ
717,FM RHOD NYAS,ZW1
835,FM TANGANYIK,TAN
866,FM VIETNAM DR,VDR
868,FM VIETNAM RP,SVR
836,FM ZANZ-PEMB,ZPM
250,FRANCIA,FRA
266,GABON,GAB
270,GAMBIA,GMB
274,GAZA STRIP,GAZ
268,GEORGIA,GEO
288,GHANA,GHA
292,GIBRALTAR,GIB
308,GRANADA,GRD
300,GRECIA,GRC
304,GROENLANDIA,GRL
312,GUADALUPE,GLP
316,GUAM,GUM
320,GUATEMALA,GTM
254,GUAYANA FRANCESA,GUF
324,GUINEA,GIN
226,GUINEA ECUATORIAL,GNQ
624,GUINEA-BISSAU,GNB
328,GUYANA,GUY
332,HAITI,HTI
340,HONDURAS,HND
344,HONG KONG (CHINA),HKG
348,HUNGRIA,HUN
356,INDIA,IND
360,INDONESIA,IDN
364,"IRAN, REP. ISLAMICA DEL",IRN
368,IRAQ,IRQ
372,IRLANDA,IRL
74,ISLA BOUVET,BVT
837,ISLA BUNKER,BUN
162,ISLA DE NAVIDAD,CXR
574,ISLA NORFOLK,NFK
352,ISLANDIA,ISL
136,ISLAS CAIMAN,CYM
166,ISLAS COCOS (KEELING),CCK
184,ISLAS COOK,COK
582,ISLAS DEL PACIFICO,PCE
238,ISLAS FALKLAND,FLK
234,ISLAS FEROE,FRO
239,ISLAS GEORGIAS DEL SUR Y SANDWICH DEL SUR,SGS
334,ISLAS HEARD Y MCDONALD,HMD
584,ISLAS MARSHALL,MHL
90,ISLAS SALOMON,SLB
796,ISLAS TURCAS Y CAICOS,TCA
581,ISLAS ULTRAMARINAS MENORES DE ESTADOS UNIDOS,UMI
850,ISLAS VIRGENES (EE.UU.),VIR
92,ISLAS VIRGENES BRITANICAS,VGB
876,ISLAS WALLIS Y FUTUNA,WLF
376,ISRAEL,ISR
380,ITALIA,ITA
388,JAMAICA,JAM
392,JAPON,JPN
396,JHONSTON ISLAND,JTN
400,JORDANIA,JOR
398,KAZAJSTAN,KAZ
404,KENYA,KEN
417,KIRGUISTAN,KGZ
296,KIRIBATI,KIR
412,KOSOVO,KSV
414,KUWAIT,KWT
426,LESOTHO,LSO
428,LETONIA,LVA
422,LIBANO,LBN
430,LIBERIA,LBR
434,LIBIA,LBY
438,LIECHTENSTEIN,LIE
440,LITUANIA,LTU
442,LUXEMBURGO,LUX
446,MACAO,MAC
807,"MACEDONIA, EX REP. YUGOSLAVA DE",MKD
450,MADAGASCAR,MDG
458,MALASIA,MYS
454,MALAWI,MWI
462,MALDIVAS,MDV
466,MALI,MLI
470,MALTA,MLT
580,MARIANA,MNP
504,MARRUECOS,MAR
474,MARTINICA,MTQ
480,MAURICIO,MUS
478,MAURITANIA,MRT
175,MAYOTTE,MYT
484,MEXICO,MEX
583,"MICRONESIA, ESTADOS FED. DE",FSM
488,MIDWAY ISLANDS,MID
492,MONACO,MCO
496,MONGOLIA,MNG
499,MONTENEGRO,MNT
500,MONTSERRAT,MSR
508,MOZAMBIQUE,MOZ
0,MUNDO,WLD
104,MYANMAR,MMR
516,NAMIBIA,NAM
520,NAURU,NRU
524,NEPAL,NPL
558,NICARAGUA,NIC
562,NIGER,NER
566,NIGERIA,NGA
570,NIUE,NIU
898,NO ESPECIFICADOS,UNS
578,NORUEGA,NOR
540,NUEVA CALEDONIA,NCL
554,NUEVA ZELANDIA,NZL
512,OMAN,OMN
490,"OTRA ZONA DE ASIA, NO ESP.",OAS
528,PAISES BAJOS,NLD
586,PAKISTAN,PAK
585,PALAU,PLW
591,PANAMA,PAN
598,PAPUA NUEVA GUINEA,PNG
600,PARAGUAY,PRY
459,PEN MALAYSIA,PMY
604,PERU,PER
612,PITCAIRN,PCN
258,POLINESIA FRANCESA,PYF
616,POLONIA,POL
620,PORTUGAL,PRT
630,PUERTO RICO,PRI
634,QATAR,QAT
826,REINO UNIDO,GBR
760,REPUBLICA ARABE SIRIA,SYR
140,REPUBLICA CENTROAFRICANA,CAF
203,REPUBLICA CHECA,CZE
498,REPUBLICA DE MOLDOVA,MDA
278,REPUBLICA DEMOCRATICA ALEMANA,DDR
418,REPUBLICA DEMOCRATICA POPULAR LAO,LAO
214,REPUBLICA DOMINICANA,DOM
703,REPUBLICA ESLOVACA,SVK
638,REUNION,REU
642,RUMANIA,ROM
646,RWANDA,RWA
647,RYUKYU IS,RYU
461,SABAH,SBH
732,SAHARA OCCIDENTAL,ESH
659,SAINT KITTS Y NEVIS,KNA
658,SAINT KITTS-NEVIS-ANGUILLA-ARU,KN1
882,SAMOA,WSM
16,SAMOA AMERICANA,ASM
674,SAN MARINO,SMR
534,SAN MARTIN,SXM
666,SAN PEDRO Y MIQUELON,SPM
670,SAN VICENTE Y LAS GRANADINAS,VCT
654,SANTA ELENA,SHN
662,SANTA LUCIA,LCA
336,SANTA SEDE,VAT
678,SANTO TOME Y PRINCIPE,STP
457,SARAWAK,SWK
686,SENEGAL,SEN
891,"SERBIA, REP. FED. DE (SERBIA Y MONTENEGRO)",SER
690,SEYCHELLES,SYC
694,SIERRA LEONA,SLE
698,SIKKIM,SIK
702,SINGAPUR,SGP
706,SOMALIA,SOM
144,SRI LANKA,LKA
710,SUDAFRICA,ZAF
729,SUDAN,SUD
728,SUDAN DEL SUR,SSD
752,SUECIA,SWE
756,SUIZA,CHE
740,SURINAME,SUR
744,SVALBARD AND JAN MAYEN IS,SJM
748,SWAZILANDIA,SWZ
764,TAILANDIA,THA
158,"TAIWAN, CHINA",TWN
834,TANZANIA,TZA
762,TAYIKISTAN,TJK
80,TERRITORIO ANTARTICO BRITANICO,BAT
86,TERRITORIO BRITANICO DEL OCEANO INDICO,IOT
275,TERRITORIO PALESTINO OCUPADO,PSE
260,TIERRAS AUSTRALES Y ANTARTICAS FRANCESAS,ATF
626,TIMOR ORIENTAL,TMP
768,TOGO,TGO
772,TOKELAU,TKL
776,TONGA,TON
780,TRINIDAD Y TOBAGO,TTO
788,TUNEZ,TUN
795,TURKMENISTAN,TKM
792,TURQUIA,TUR
798,TUVALU,TUV
804,UCRANIA,UKR
800,UGANDA,UGA
810,UNION SOVIETICA,SVU
858,URUGUAY,URY
860,UZBEKISTAN,UZB
548,VANUATU,VUT
862,VENEZUELA,VEN
704,VIET NAM,VNM
872,WAKE ISLAND,WAK
887,"YEMEN, REP. DEL",YEM
720,"YEMEN, REP. DEM. DEL",YDR
890,"YUGOSLAVIA, REP. FED. DE (SERBIA Y MONTENEGRO)",YUG
894,ZAMBIA,ZMB
716,ZIMBABWE,ZWE
