COUNTRY,ISO3,CODE
AFGANISTAN,AFG,4
ALAND ISLANDS,ALI,248
ALBANIA,ALB,8
ALEMANIA,DEU,276
ANDORRA,AND,20
ANGOLA,AGO,24
ANGUILA,AIA,660
ANTARTIDA,ATA,10
ANTIGUA Y BARBUDA,ATG,28
ANTILLAS NEERLANDESAS,ANT,530
ARABIA SAUDITA,SAU,682
ARGELIA,DZA,12
ARGENTINA,ARG,32
ARMENIA,ARM,51
ARUBA,ABW,533
AUSTRALIA,AUS,36
AUSTRIA,AUT,40
AZERBAIYAN,AZE,31
BAHAMAS,BHS,44
BAHREIN,BHR,48
BANGLADESH,BGD,50
BARBADOS,BRB,52
BELARUS,BLR,112
BELGICA,BEL,56
BELGICA-LUXEMBURGO,BLX,58
BELICE,BLZ,84
BENIN,BEN,204
BERMUDAS,BMU,60
BHUTAN,BTN,64
BOLIVIA,BOL,68
BONAIRE,BES,535
BOSNIA Y HERZEGOVINA,BIH,70
BOTSWANA,BWA,72
BRASIL,BRA,76
BRUNEI DARUSSALAM,BRN,96
BULGARIA,BGR,100
BURKINA FASO,BFA,854
BURUNDI,BDI,108
CABO VERDE,CPV,132
CAMBOYA,KHM,116
CAMERUN,CMR,120
CANADA,CAN,124
CATEGORIAS ESPECIALES,SPE,839
CHAD,TCD,148
CHECOSLOVAQUIA,CSK,200
CHILE,CHL,152
CHINA,CHN,156
CHIPRE,CYP,196
COLOMBIA,COL,170
COMANDO I DEL PACIFICO DE ESTADOS UNIDOS,USP,849
COMORAS,COM,174
"CONGO, REP. DEL",COG,178
"CONGO, REP. DEM. DEL",ZAR,180
"COREA, REP. DE",KOR,410
"COREA, REP. DEM. DE",PRK,408
COSTA RICA,CRI,188
COTE D'IVOIRE,CIV,384
CROACIA,HRV,191
CUBA,CUB,192
CURACAO,CUW,531
DINAMARCA,DNK,208
DJIBOUTI,DJI,262
DOMINICA,DMA,212
ECUADOR,ECU,218
"EGIPTO, REP. ARABE DE",EGY,818
EL SALVADOR,SLV,222
EMIRATOS ARABES UNIDOS,ARE,784
ERITREA,ERI,232
ESLOVENIA,SVN,705
ESPAÃ‘A,ESP,724
ESTADOS UNIDOS,USA,840
ESTONIA,EST,233
ETIOPIA (EXCLUIDA ERITREA),ETH,231
ETIOPIA (INCLUIDA ERITREA),ETF,230
EUROPEAN UNION,EUN,918
EX SUDAN,SDN,736
FEDERACION DE RUSIA,RUS,643
FIJI,FJI,242
FILIPINAS,PHL,608
FINLANDIA,FIN,246
FM PANAMA CZ,PCZ,592
FM RHOD NYAS,ZW1,717
FM TANGANYIK,TAN,835
FM VIETNAM DR,VDR,866
FM VIETNAM RP,SVR,868
FM ZANZ-PEMB,ZPM,836
FRANCIA,FRA,250
GABON,GAB,266
GAMBIA,GMB,270
GAZA STRIP,GAZ,274
GEORGIA,GEO,268
GHANA,GHA,288
GIBRALTAR,GIB,292
GRANADA,GRD,308
GRECIA,GRC,300
GROENLANDIA,GRL,304
GUADALUPE,GLP,312
GUAM,GUM,316
GUATEMALA,GTM,320
GUAYANA FRANCESA,GUF,254
GUINEA,GIN,324
GUINEA ECUATORIAL,GNQ,226
GUINEA-BISSAU,GNB,624
GUYANA,GUY,328
HAITI,HTI,332
HONDURAS,HND,340
HONG KONG (CHINA),HKG,344
HUNGRIA,HUN,348
INDIA,IND,356
INDONESIA,IDN,360
"IRAN, REP. ISLAMICA DEL",IRN,364
IRAQ,IRQ,368
IRLANDA,IRL,372
ISLA BOUVET,BVT,74
ISLA BUNKER,BUN,837
ISLA DE NAVIDAD,CXR,162
ISLA NORFOLK,NFK,574
ISLANDIA,ISL,352
ISLAS CAIMAN,CYM,136
ISLAS COCOS (KEELING),CCK,166
ISLAS COOK,COK,184
ISLAS DEL PACIFICO,PCE,582
ISLAS FALKLAND,FLK,238
ISLAS FEROE,FRO,234
ISLAS GEORGIAS DEL SUR Y SANDWICH DEL SUR,SGS,239
ISLAS HEARD Y MCDONALD,HMD,334
ISLAS MARSHALL,MHL,584
ISLAS SALOMON,SLB,90
ISLAS TURCAS Y CAICOS,TCA,796
ISLAS ULTRAMARINAS MENORES DE ESTADOS UNIDOS,UMI,581
ISLAS VIRGENES (EE.UU.),VIR,850
ISLAS VIRGENES BRITANICAS,VGB,92
ISLAS WALLIS Y FUTUNA,WLF,876
ISRAEL,ISR,376
ITALIA,ITA,380
JAMAICA,JAM,388
JAPON,JPN,392
JHONSTON ISLAND,JTN,396
JORDANIA,JOR,400
KAZAJSTAN,KAZ,398
KENYA,KEN,404
KIRGUISTAN,KGZ,417
KIRIBATI,KIR,296
KOSOVO,KSV,412
KUWAIT,KWT,414
LESOTHO,LSO,426
LETONIA,LVA,428
LIBANO,LBN,422
LIBERIA,LBR,430
LIBIA,LBY,434
LIECHTENSTEIN,LIE,438
LITUANIA,LTU,440
LUXEMBURGO,LUX,442
MACAO,MAC,446
"MACEDONIA, EX REP. YUGOSLAVA DE",MKD,807
MADAGASCAR,MDG,450
MALASIA,MYS,458
MALAWI,MWI,454
MALDIVAS,MDV,462
MALI,MLI,466
MALTA,MLT,470
MARIANA,MNP,580
MARRUECOS,MAR,504
MARTINICA,MTQ,474
MAURICIO,MUS,480
MAURITANIA,MRT,478
MAYOTTE,MYT,175
MEXICO,MEX,484
"MICRONESIA, ESTADOS FED. DE",FSM,583
MIDWAY ISLANDS,MID,488
MONACO,MCO,492
MONGOLIA,MNG,496
MONTENEGRO,MNT,499
MONTSERRAT,MSR,500
MOZAMBIQUE,MOZ,508
MUNDO,WLD,0
MYANMAR,MMR,104
NAMIBIA,NAM,516
NAURU,NRU,520
NEPAL,NPL,524
NICARAGUA,NIC,558
NIGER,NER,562
NIGERIA,NGA,566
NIUE,NIU,570
NO ESPECIFICADOS,UNS,898
NORUEGA,NOR,578
NUEVA CALEDONIA,NCL,540
NUEVA ZELANDIA,NZL,554
OMAN,OMN,512
"OTRA ZONA DE ASIA, NO ESP.",OAS,490
PAISES BAJOS,NLD,528
PAKISTAN,PAK,586
PALAU,PLW,585
PANAMA,PAN,591
PAPUA NUEVA GUINEA,PNG,598
PARAGUAY,PRY,600
PEN MALAYSIA,PMY,459
PERU,PER,604
PITCAIRN,PCN,612
POLINESIA FRANCESA,PYF,258
POLONIA,POL,616
PORTUGAL,PRT,620
PUERTO RICO,PRI,630
QATAR,QAT,634
REINO UNIDO,GBR,826
REPUBLICA ARABE SIRIA,SYR,760
REPUBLICA CENTROAFRICANA,CAF,140
REPUBLICA CHECA,CZE,203
REPUBLICA DE MOLDOVA,MDA,498
REPUBLICA DEMOCRATICA ALEMANA,DDR,278
REPUBLICA DEMOCRATICA POPULAR LAO,LAO,418
REPUBLICA DOMINICANA,DOM,214
REPUBLICA ESLOVACA,SVK,703
REUNION,REU,638
RUMANIA,ROM,642
RWANDA,RWA,646
RYUKYU IS,RYU,647
SABAH,SBH,461
SAHARA OCCIDENTAL,ESH,732
SAINT KITTS Y NEVIS,KNA,659
SAINT KITTS-NEVIS-ANGUILLA-ARU,KN1,658
SAMOA,WSM,882
SAMOA AMERICANA,ASM,16
SAN MARINO,SMR,674
SAN MARTIN,SXM,534
SAN PEDRO Y MIQUELON,SPM,666
SAN VICENTE Y LAS GRANADINAS,VCT,670
SANTA ELENA,SHN,654
SANTA LUCIA,LCA,662
SANTA SEDE,VAT,336
SANTO TOME Y PRINCIPE,STP,678
SARAWAK,SWK,457
SENEGAL,SEN,686
"SERBIA, REP. FED. DE (SERBIA Y MONTENEGRO)",SER,891
SEYCHELLES,SYC,690
SIERRA LEONA,SLE,694
SIKKIM,SIK,698
SINGAPUR,SGP,702
SOMALIA,SOM,706
SRI LANKA,LKA,144
SUDAFRICA,ZAF,710
SUDAN,SUD,729
SUDAN DEL SUR,SSD,728
SUECIA,SWE,752
SUIZA,CHE,756
SURINAME,SUR,740
SVALBARD AND JAN MAYEN IS,SJM,744
SWAZILANDIA,SWZ,748
TAILANDIA,THA,764
"TAIWAN, CHINA",TWN,158
TANZANIA,TZA,834
TAYIKISTAN,TJK,762
TERRITORIO ANTARTICO BRITANICO,BAT,80
TERRITORIO BRITANICO DEL OCEANO INDICO,IOT,86
TERRITORIO PALESTINO OCUPADO,PSE,275
TIERRAS AUSTRALES Y ANTARTICAS FRANCESAS,ATF,260
TIMOR ORIENTAL,TMP,626
TOGO,TGO,768
TOKELAU,TKL,772
TONGA,TON,776
TRINIDAD Y TOBAGO,TTO,780
TUNEZ,TUN,788
TURKMENISTAN,TKM,795
TURQUIA,TUR,792
TUVALU,TUV,798
UCRANIA,UKR,804
UGANDA,UGA,800
UNION SOVIETICA,SVU,810
URUGUAY,URY,858
UZBEKISTAN,UZB,860
VANUATU,VUT,548
VENEZUELA,VEN,862
VIET NAM,VNM,704
WAKE ISLAND,WAK,872
"YEMEN, REP. DEL",YEM,887
"YEMEN, REP. DEM. DEL",YDR,720
"YUGOSLAVIA, REP. FED. DE (SERBIA Y MONTENEGRO)",YUG,890
ZAMBIA,ZMB,894
ZIMBABWE,ZWE,716
